                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.15099,                0.40137,                0.92645,                0.81387,                0.86961,                 0.8625,                0.84619,                0.22202,                 1.2201,                0.64559,             0.00073704,             0.00073704,             0.00073704
                     37,                0.16685,                0.43183,                0.92736,                 0.8585,                0.85181,                0.88817,                0.88156,                0.24234,                0.94473,                0.68426,             0.00072604,             0.00072604,             0.00072604
                     38,                0.15229,                0.41095,                0.92631,                0.90044,                0.91293,                0.92326,                0.91391,                0.23645,                0.80838,                0.69311,             0.00071504,             0.00071504,             0.00071504
                     39,                 0.1397,                0.38214,                0.90731,                0.89232,                0.87049,                0.88132,                0.87728,                0.25265,                 1.2725,                0.70714,             0.00070404,             0.00070404,             0.00070404
                     40,                0.13522,                 0.3491,                0.90678,                 0.8631,                0.87518,                0.91607,                0.91607,                0.25399,                 1.1444,                 0.6845,             0.00069304,             0.00069304,             0.00069304
                     41,                0.13348,                0.35479,                0.89387,                 0.8611,                0.91143,                0.86884,                0.86884,                0.25241,                 1.1811,                0.65259,             0.00068204,             0.00068204,             0.00068204
                     42,                0.14148,                 0.3819,                0.89852,                 0.8866,                0.74523,                0.82553,                0.79579,                0.26099,                 1.3974,                0.69221,             0.00067104,             0.00067104,             0.00067104
                     43,                0.12862,                0.35733,                0.90456,                0.67911,                0.89656,                0.90178,                0.81945,                0.21723,                0.99969,                0.64806,             0.00066005,             0.00066005,             0.00066005
                     44,                0.12811,                0.37263,                0.89596,                0.83485,                0.83075,                0.85384,                 0.8522,                0.22047,                 1.2054,                0.65054,             0.00064905,             0.00064905,             0.00064905
                     45,                0.13392,                 0.3787,                0.90042,                0.87945,                0.86015,                0.90741,                0.90186,                0.28618,                0.90963,                 0.7281,             0.00063805,             0.00063805,             0.00063805
                     46,                0.12358,                0.32759,                0.90123,                0.88232,                0.89387,                0.88483,                0.88429,                0.25061,                 1.0889,                0.67426,             0.00062705,             0.00062705,             0.00062705
                     47,                0.17845,                0.36513,                0.99556,                0.88695,                0.89733,                0.89301,                0.87755,                0.22922,                 1.0498,                0.64952,             0.00061605,             0.00061605,             0.00061605
                     48,                 0.1286,                0.33566,                0.90206,                0.89111,                0.83809,                0.84117,                0.80952,                0.26886,                 1.3319,                0.75525,             0.00060505,             0.00060505,             0.00060505
                     49,                0.11171,                0.29234,                0.89904,                0.86002,                0.86425,                0.88725,                0.86314,                0.19658,                 1.1769,                0.62123,             0.00059405,             0.00059405,             0.00059405
                     50,                0.12255,                0.33635,                0.88882,                0.90393,                0.86299,                0.90022,                0.87347,                0.23625,                 1.1553,                0.68001,             0.00058305,             0.00058305,             0.00058305
                     51,                0.18864,                0.36271,                0.99277,                0.85934,                0.89205,                0.88262,                0.87165,                0.23125,                 1.3793,                0.70231,             0.00057205,             0.00057205,             0.00057205
                     52,                0.12878,                0.31182,                0.89995,                0.89131,                0.86334,                0.86337,                0.83115,                0.25844,                 1.2961,                0.74889,             0.00056105,             0.00056105,             0.00056105
                     53,                0.11989,                0.31654,                0.89748,                0.85287,                0.86695,                0.87367,                0.86799,                0.18108,                 1.1162,                0.59816,             0.00055006,             0.00055006,             0.00055006
                     54,                0.12028,                0.31555,                0.90568,                0.66033,                0.76243,                 0.7833,                0.77946,                0.25081,                 1.6971,                0.64271,             0.00053906,             0.00053906,             0.00053906
                     55,                0.11643,                0.33179,                0.89901,                0.90329,                0.90064,                0.90857,                0.90857,                0.21707,                0.96082,                0.63708,             0.00052806,             0.00052806,             0.00052806
                     56,                0.11831,                0.37253,                0.91126,                0.86494,                0.84488,                 0.8787,                 0.8787,                0.25407,                 1.1686,                0.69379,             0.00051706,             0.00051706,             0.00051706
                     57,                0.10695,                0.28436,                0.88994,                0.86443,                0.86076,                0.90187,                0.90187,                0.23554,                0.93624,                0.66944,             0.00050606,             0.00050606,             0.00050606
                     58,                0.10834,                 0.3429,                0.88976,                0.91979,                0.90032,                0.90055,                0.87521,                0.30537,                 1.1368,                0.81757,             0.00049506,             0.00049506,             0.00049506
                     59,                0.12212,                0.28946,                 0.8991,                0.74601,                0.89198,                0.89881,                0.89881,                0.21539,                0.92738,                0.62351,             0.00048406,             0.00048406,             0.00048406
                     60,                0.14222,                0.39323,                0.94933,                 0.8968,                0.84922,                0.90039,                0.90039,                0.20338,                0.91663,                0.62532,             0.00047306,             0.00047306,             0.00047306
                     61,                0.11726,                0.37225,                0.90524,                0.90208,                0.88286,                0.89262,                0.89262,                0.17751,                0.85178,                0.57236,             0.00046206,             0.00046206,             0.00046206
                     62,                0.11202,                0.27139,                0.88309,                 0.9289,                0.86692,                0.91158,                0.89173,                0.24451,                 0.9374,                0.67232,             0.00045107,             0.00045107,             0.00045107
                     63,                0.11166,                0.25474,                 0.9036,                0.89867,                0.88033,                 0.9061,                0.90003,                0.20818,                0.95463,                0.63972,             0.00044007,             0.00044007,             0.00044007
                     64,                0.10567,                0.26126,                 0.8902,                 0.8556,                0.88283,                0.89742,                0.89206,                0.20283,                0.96671,                0.61367,             0.00042907,             0.00042907,             0.00042907
                     65,                 0.1163,                0.32661,                0.94201,                 0.7978,                0.87064,                0.85948,                0.85483,                0.20313,                 1.1853,                0.62388,             0.00041807,             0.00041807,             0.00041807
                     66,                0.10384,                0.33068,                0.88518,                0.84192,                0.81433,                0.90415,                0.90383,                 0.2259,                 1.1134,                0.64222,             0.00040707,             0.00040707,             0.00040707
